origin_geoid,visit_pct
010810403002,0.5
010810404003,1.0
010810405002,0.8759398496240601
010810406042,1.0
010810417001,0.1351351351351351
010810420042,0.2121212121212121
010810420043,1.0
010810420051,0.4074074074074074
010830204012,1.0318471337579618
010830208011,1.0
010857808003,0.1428571428571428
010872322001,0.9428571428571428
010890007021,1.0
010890013021,1.0
010890015001,0.6962833914053427
010890018011,0.5294117647058824
010890020003,1.0
010890024002,0.3353941267387944
010890025012,1.0
010890028013,0.375
010890028021,1.0
010890029214,1.0
010890031001,0.6210526315789474
010890031003,1.0
010890101003,0.9076086956521738
010890103011,0.2717391304347826
010890103013,0.2666666666666666
010890104022,0.5
010890105013,0.547945205479452
010890106121,0.3333333333333333
010890106223,0.6923076923076923
010890109012,0.4341637010676156
010890110113,0.7333333333333333
010890110143,1.7710843373493974
010890110211,0.2105263157894736
010890112003,1.0
010939640001,1.0
010950302022,1.0
010950303002,1.3369565217391304
010950307011,0.4166666666666667
010950308011,1.205128205128205
010950309032,1.0
010950311002,0.3305785123966942
010970012001,1.0
010970018001,1.0
010970019012,0.28
010970021001,0.6428571428571429
010970024003,1.0
010970029003,0.7
010970037031,1.0
010970063011,1.0
010970063012,1.0
010970064042,1.0
010970064043,1.0
010970068011,1.173913043478261
010970071012,0.4189944134078212
011010003001,1.0
011010020003,0.149746192893401
011010023004,1.0
011010033021,0.8260869565217391
011010033023,1.0
011010053022,0.7142857142857143
011010054084,0.4137931034482758
011010056091,0.7
011010059015,1.0
011030002003,1.0
011030004002,1.0
011030051012,0.8064516129032258
011030051061,0.6666666666666667
011030051091,0.6071428571428571
011030051093,1.0
011030053032,0.1666666666666666
011030054041,0.1111111111111111
011030055004,0.5
011091890002,0.1875
011110001002,1.0
011130304014,0.948051948051948
011130304022,0.3537117903930131
011130306001,0.2
011130306004,0.7083333333333333
011150401032,1.0
011150401042,1.0
011150402033,1.0
011150402043,1.0
011150405014,0.6666666666666666
011150405021,0.5789473684210527
011150405022,0.0769230769230769
011170302111,1.0
011170302151,1.0
011170302163,1.019455252918288
011170303053,1.0
011170303142,0.0897435897435897
011170303314,0.2992299229922992
011170309001,1.0
011190113002,0.5427046263345195
011210110002,0.4159663865546218
011210119001,0.1052631578947368
011239625011,0.1454545454545454
011239625021,1.0
011250107011,1.0
011250107023,0.5416666666666666
011250114022,0.6122448979591837
011250124031,0.7841726618705036
011250124041,0.3015873015873015
011270204003,0.5
011270211004,1.0
011339659003,0.7230769230769232
020200003001,1.0
020200009023,0.968253968253968
020200011001,0.1896551724137931
020200011002,1.0
020200016023,0.9584086799276672
020200018012,1.0
020200019001,0.7934782608695652
020200019003,0.4509803921568627
020200019005,0.2183908045977011
020200022014,0.6911764705882353
020200023011,0.5146443514644351
020900011001,0.5416666666666666
020900014005,0.4230769230769231
021220013002,0.3181818181818182
040030003012,0.3076923076923077
040030003033,0.1904761904761904
040050006004,0.1772639691714836
040050007001,0.5
040050009002,1.0
040050016002,0.3636363636363636
040050023001,0.3913043478260869
040120205011,0.2
040120205022,1.0
040130405141,0.7575757575757576
040130405172,0.9408284023668638
040130405182,0.5143884892086331
040130405302,0.9605263157894736
040130506061,1.0
040130506081,0.3278688524590163
040130507021,0.5
040130610092,1.0
040130610093,1.0
040130610103,1.0
040130610123,1.0
040130610181,1.0
040130610223,0.2666666666666666
040130610251,0.2
040130610302,0.8511029411764706
040130610311,0.1666666666666666
040130610321,0.484375
040130610382,1.0
040130610441,0.6285714285714286
040130610452,1.0
040130610471,0.3648648648648649
040130715124,1.830769230769231
040130719152,2.0
040130820172,1.0
040130820271,0.0769230769230769
040130927191,1.0
040130927201,1.0
040131032092,1.3902439024390243
040131032191,1.0
040131042034,0.5764705882352941
040131042071,1.0
040131042271,0.4923076923076923
040131054001,1.5
040131055022,1.0
040131061001,1.0
040131066001,1.0
040131067012,1.0
040131067031,1.0
040131072022,0.2454545454545454
040131079001,1.0
040131084004,0.1184210526315789
040131090021,1.0
040131092001,1.0
040131096012,1.0
040131096021,1.0
040131097013,1.0
040131097021,0.2857142857142857
040131098011,1.0
040131118002,1.0
040131121001,1.0
040131122012,1.0
040131125033,1.0
040131125081,0.1020408163265306
040131125102,1.0
040131125141,1.0
040131125142,0.4444444444444445
040131130002,0.4255852842809364
040131131001,1.0
040131132021,0.3142857142857143
040131136011,0.7872340425531915
040131136021,1.0
040131137002,1.0
040131137005,1.0
040131138012,0.1276595744680851
040131138021,0.6818181818181819
040131143011,0.1176470588235294
040131153002,0.2777777777777778
040131156001,0.6363636363636364
040131162032,1.0
040131162033,0.0948012232415902
040131167032,2.0
040131167103,0.7570934256055364
040131167192,0.8823529411764706
040131167194,1.0
040131167211,1.0
040131167212,0.0129198966408268
040131167272,1.0
040131167312,0.2588652482269503
040131169001,0.6
040132168061,1.0
040132168133,1.4375
040132168203,0.9298245614035088
040132168311,0.2088815789473684
040132168361,1.0
040132168433,0.7391304347826086
040132168451,0.8136439267886855
040132168483,0.6666666666666666
040132169012,0.7971246006389776
040132172012,0.96028880866426
040132173001,0.5111111111111111
040132175011,2.0
040133187001,0.7893401015228426
040133190003,1.0
040133194013,0.6470588235294118
040133197041,0.3407407407407407
040133199043,1.0
040133199091,0.4139784946236559
040133200072,0.2893617021276595
040134201052,0.5294117647058824
040134201072,0.8735632183908046
040134202112,1.0
040134202131,0.3670886075949367
040134207042,0.7985611510791367
040134212011,1.0
040134221045,1.0
040134223052,1.0
040134223073,0.3581445523193096
040134224023,1.0
040134226061,1.0
040134226413,1.0
040135229031,0.7409638554216867
040135229032,0.2926829268292683
040136100004,0.5263157894736842
040136103002,0.4564032697547683
040136104004,1.0
040136109003,1.0
040136117001,1.0
040136118004,1.04
040136122001,1.2000000000000002
040136123001,0.3055555555555556
040136123002,0.4545454545454545
040136128001,1.0
040136133001,1.0
040136141001,0.4
040136143001,0.4347826086956521
040136145004,1.0
040136146005,1.0
040136165003,1.0
040136168003,1.0
040136177001,0.3636363636363636
040136187002,1.0
040136195001,1.0
040138100001,0.5
040138104002,1.0
040138109002,1.0
040138109004,1.0
040138111001,1.0
040138124001,1.0
040138126001,1.0
040138135001,1.0
040138136001,1.0
040138144002,1.074074074074074
040138146001,1.0
040138148001,0.1379821958456973
040138155003,2.0
040138160002,0.3605442176870748
040138167001,1.0
040138169002,1.6363636363636362
040139410001,1.0
040139411001,0.5714285714285714
040159506001,1.0
040159506004,0.3636363636363636
040159516011,1.0
040159548002,0.5421686746987953
040159548003,0.1538461538461538
040179601001,0.6698113207547169
040190001002,1.0
040190002001,2.0
040190008002,0.5882352941176471
040190012002,1.0
040190016003,0.2857142857142857
040190019002,0.1304347826086956
040190025042,1.0
040190026031,0.5
040190027021,1.0
040190030023,1.0
040190035012,0.375
040190039011,1.5
040190040253,1.0
040190040262,0.0212765957446808
040190040472,0.3571428571428571
040190040531,0.1481481481481481
040190040641,0.2708333333333333
040190040683,1.0
040190040741,0.5714285714285714
040190041102,0.7096774193548387
040190041142,1.0
040190041191,1.6666666666666663
040190041211,0.3026706231454006
040190043071,1.0
040190043072,0.9047619047619048
040190043172,1.0
040190043173,0.1111111111111111
040190043202,0.2142857142857142
040190043272,1.0
040190043291,1.0
040190044131,1.0
040190044192,0.4333333333333333
040190044231,1.0
040190044241,0.0982142857142857
040190044281,0.4
040190045043,1.0
040190045132,0.8933333333333333
040190046131,0.0638297872340425
040190046161,0.5405405405405406
040190046182,1.0
040190046301,1.0
040190046381,0.5217391304347826
040190046391,1.0
040190046401,1.0
040190046462,0.7584459459459459
040190047111,0.15
040190047141,0.7828054298642535
040210002012,0.1371571072319202
040210002121,0.0884955752212389
040210002142,1.0
040210002151,1.0
040210006031,0.0847457627118644
040210008014,0.2608695652173913
040210013042,1.0
040210014072,0.7333333333333334
040210017041,1.0
040210017091,0.4132231404958678
040210017111,1.0
040239661041,0.8055555555555556
040250004012,0.2335766423357664
040250014032,0.937007874015748
040250017023,0.7033333333333334
040250019002,0.2461538461538461
040250021001,0.6666666666666666
040270006004,0.875
040270109112,1.0
050070202012,0.2631578947368421
050070202061,0.4705882352941176
050070203051,0.2631578947368421
050070204052,0.3043478260869565
050070206061,1.0
050070212022,1.0
050070213052,0.5740740740740741
050070213101,0.631578947368421
050097903002,0.5
050097906003,0.7
050199539005,1.303030303030303
050234805012,1.0
050299501002,1.0
050299506001,1.0
050310006024,1.206896551724138
050310009004,1.0
050330204021,1.0
050330205011,0.8541666666666666
050350306001,0.4552238805970149
050350308031,0.2875
050450304032,1.0
050450305021,0.2043795620437956
050450307012,0.1781818181818182
050450308003,1.0
050479501001,1.0
